Datos que encuentra el metodo de Rungecuta(variable ind.	 variable dep.	 numero de thread)
0.013635	 0.764365 	 numero de thread:0
0.013697	 0.764270 	 numero de thread:0
0.013760	 0.764175 	 numero de thread:0
0.013823	 0.764080 	 numero de thread:0
0.013886	 0.763985 	 numero de thread:0
0.013949	 0.763890 	 numero de thread:0
0.014012	 0.763794 	 numero de thread:0
0.014074	 0.763699 	 numero de thread:0
0.014137	 0.763604 	 numero de thread:0
0.014200	 0.763509 	 numero de thread:0
0.014263	 0.763414 	 numero de thread:0
0.014326	 0.763319 	 numero de thread:0
0.014388	 0.763224 	 numero de thread:0
0.014451	 0.763129 	 numero de thread:0
0.014514	 0.763035 	 numero de thread:0
0.014577	 0.762940 	 numero de thread:0
0.014640	 0.762845 	 numero de thread:0
0.014703	 0.762750 	 numero de thread:0
0.014765	 0.762655 	 numero de thread:0
0.014828	 0.762560 	 numero de thread:0
0.014891	 0.762465 	 numero de thread:0
0.014954	 0.762370 	 numero de thread:0
0.015017	 0.762276 	 numero de thread:0
0.015080	 0.762181 	 numero de thread:0
0.015142	 0.762086 	 numero de thread:0
0.015205	 0.761991 	 numero de thread:0
0.015268	 0.761896 	 numero de thread:0
0.015331	 0.761802 	 numero de thread:0
0.015394	 0.761707 	 numero de thread:0
0.015457	 0.761612 	 numero de thread:0
0.015519	 0.761518 	 numero de thread:0
0.015582	 0.761423 	 numero de thread:0
0.015645	 0.761328 	 numero de thread:0
0.015708	 0.761234 	 numero de thread:0
0.015771	 0.761139 	 numero de thread:0
0.015834	 0.761044 	 numero de thread:0
0.015896	 0.760950 	 numero de thread:0
0.015959	 0.760855 	 numero de thread:0
0.016022	 0.760761 	 numero de thread:0
0.016085	 0.760666 	 numero de thread:0
0.016148	 0.760572 	 numero de thread:0
0.016211	 0.760477 	 numero de thread:0
0.016273	 0.760383 	 numero de thread:0
0.016336	 0.760288 	 numero de thread:0
0.016399	 0.760194 	 numero de thread:0
0.016462	 0.760099 	 numero de thread:0
0.016525	 0.760005 	 numero de thread:0
0.016588	 0.759911 	 numero de thread:0
0.016650	 0.759816 	 numero de thread:0
0.016713	 0.759722 	 numero de thread:0
0.016776	 0.759627 	 numero de thread:0
0.016839	 0.759533 	 numero de thread:0
0.016902	 0.759439 	 numero de thread:0
0.016965	 0.759344 	 numero de thread:0
0.017027	 0.759250 	 numero de thread:0
0.017090	 0.759156 	 numero de thread:0
0.017153	 0.759062 	 numero de thread:0
0.017216	 0.758967 	 numero de thread:0
0.017279	 0.758873 	 numero de thread:0
0.017342	 0.758779 	 numero de thread:0
0.017404	 0.758685 	 numero de thread:0
0.017467	 0.758591 	 numero de thread:0
0.017530	 0.758496 	 numero de thread:0
0.017593	 0.758402 	 numero de thread:0
0.017656	 0.758308 	 numero de thread:0
0.017719	 0.758214 	 numero de thread:0
0.017781	 0.758120 	 numero de thread:0
0.017844	 0.758026 	 numero de thread:0
0.017907	 0.757932 	 numero de thread:0
0.017970	 0.757838 	 numero de thread:0
0.018033	 0.757744 	 numero de thread:0
0.018096	 0.757650 	 numero de thread:0
0.018158	 0.757556 	 numero de thread:0
0.018221	 0.757462 	 numero de thread:0
0.018284	 0.757368 	 numero de thread:0
0.018347	 0.757274 	 numero de thread:0
0.018410	 0.757180 	 numero de thread:0
0.018473	 0.757086 	 numero de thread:0
0.018535	 0.756992 	 numero de thread:0
0.018598	 0.756898 	 numero de thread:0
0.018661	 0.756804 	 numero de thread:0
0.018724	 0.756710 	 numero de thread:0
0.018787	 0.756617 	 numero de thread:0
0.018850	 0.756523 	 numero de thread:0
0.018912	 0.756429 	 numero de thread:0
0.018975	 0.756335 	 numero de thread:0
0.019038	 0.756241 	 numero de thread:0
0.019101	 0.756148 	 numero de thread:0
0.019164	 0.756054 	 numero de thread:0
0.019227	 0.755960 	 numero de thread:0
0.019289	 0.755866 	 numero de thread:0
0.019352	 0.755773 	 numero de thread:0
0.019415	 0.755679 	 numero de thread:0
0.019478	 0.755585 	 numero de thread:0
0.019541	 0.755492 	 numero de thread:0
0.019604	 0.755398 	 numero de thread:0
0.019666	 0.755305 	 numero de thread:0
0.019729	 0.755211 	 numero de thread:0
0.019792	 0.755117 	 numero de thread:0
0.019855	 0.755024 	 numero de thread:0
0.019918	 0.754930 	 numero de thread:0
0.019981	 0.754837 	 numero de thread:0
0.020043	 0.754743 	 numero de thread:0
0.020106	 0.754650 	 numero de thread:0
0.020169	 0.754556 	 numero de thread:0
0.020232	 0.754463 	 numero de thread:0
0.020295	 0.754369 	 numero de thread:0
0.020358	 0.754276 	 numero de thread:0
0.020420	 0.754182 	 numero de thread:0
0.020483	 0.754089 	 numero de thread:0
0.020546	 0.753996 	 numero de thread:0
0.020609	 0.753902 	 numero de thread:0
0.020672	 0.753809 	 numero de thread:0
0.020735	 0.753716 	 numero de thread:0
0.020797	 0.753622 	 numero de thread:0
0.020860	 0.753529 	 numero de thread:0
0.020923	 0.753436 	 numero de thread:0
0.020986	 0.753342 	 numero de thread:0
0.021049	 0.753249 	 numero de thread:0
0.021112	 0.753156 	 numero de thread:0
0.021174	 0.753063 	 numero de thread:0
0.021237	 0.752969 	 numero de thread:0
0.021300	 0.752876 	 numero de thread:0
0.021363	 0.752783 	 numero de thread:0
0.021426	 0.752690 	 numero de thread:0
0.021488	 0.752597 	 numero de thread:0
0.021551	 0.752504 	 numero de thread:0
0.021614	 0.752411 	 numero de thread:0
0.021677	 0.752317 	 numero de thread:0
0.021740	 0.752224 	 numero de thread:0
0.021803	 0.752131 	 numero de thread:0
0.021865	 0.752038 	 numero de thread:0
0.021928	 0.751945 	 numero de thread:0
0.021991	 0.751852 	 numero de thread:0
0.022054	 0.751759 	 numero de thread:0
0.022117	 0.751666 	 numero de thread:0
0.022180	 0.751573 	 numero de thread:0
0.022242	 0.751480 	 numero de thread:0
0.022305	 0.751387 	 numero de thread:0
0.022368	 0.751295 	 numero de thread:0
0.022431	 0.751202 	 numero de thread:0
0.022494	 0.751109 	 numero de thread:0
0.022557	 0.751016 	 numero de thread:0
0.022619	 0.750923 	 numero de thread:0
0.022682	 0.750830 	 numero de thread:0
0.022745	 0.750737 	 numero de thread:0
0.022808	 0.750645 	 numero de thread:0
0.022871	 0.750552 	 numero de thread:0
0.022934	 0.750459 	 numero de thread:0
0.022996	 0.750366 	 numero de thread:0
0.023059	 0.750274 	 numero de thread:0
0.023122	 0.750181 	 numero de thread:0
0.023185	 0.750088 	 numero de thread:0
0.023248	 0.749995 	 numero de thread:0
0.023311	 0.749903 	 numero de thread:0
0.023373	 0.749810 	 numero de thread:0
0.023436	 0.749717 	 numero de thread:0
0.023499	 0.749625 	 numero de thread:0
0.023562	 0.749532 	 numero de thread:0
0.023625	 0.749440 	 numero de thread:0
0.023688	 0.749347 	 numero de thread:0
0.023750	 0.749254 	 numero de thread:0
0.023813	 0.749162 	 numero de thread:0
0.023876	 0.749069 	 numero de thread:0
0.023939	 0.748977 	 numero de thread:0
0.024002	 0.748884 	 numero de thread:0
0.024065	 0.748792 	 numero de thread:0
0.024127	 0.748699 	 numero de thread:0
0.024190	 0.748607 	 numero de thread:0
0.024253	 0.748515 	 numero de thread:0
0.024316	 0.748422 	 numero de thread:0
0.024379	 0.748330 	 numero de thread:0
0.024442	 0.748237 	 numero de thread:0
0.024504	 0.748145 	 numero de thread:0
0.024567	 0.748053 	 numero de thread:0
0.024630	 0.747960 	 numero de thread:0
0.024693	 0.747868 	 numero de thread:0
0.024756	 0.747776 	 numero de thread:0
0.024819	 0.747683 	 numero de thread:0
0.024881	 0.747591 	 numero de thread:0
0.024944	 0.747499 	 numero de thread:0
0.025007	 0.747407 	 numero de thread:0
0.025070	 0.747314 	 numero de thread:0
0.025133	 0.747222 	 numero de thread:0
0.025196	 0.747130 	 numero de thread:0
0.025258	 0.747038 	 numero de thread:0
0.025321	 0.746946 	 numero de thread:0
0.025384	 0.746854 	 numero de thread:0
0.025447	 0.746761 	 numero de thread:0
0.025510	 0.746669 	 numero de thread:0
0.025573	 0.746577 	 numero de thread:0
0.025635	 0.746485 	 numero de thread:0
0.025698	 0.746393 	 numero de thread:0
0.025761	 0.746301 	 numero de thread:0
0.025824	 0.746209 	 numero de thread:0
0.025887	 0.746117 	 numero de thread:0
0.025950	 0.746025 	 numero de thread:0
0.026012	 0.745933 	 numero de thread:0
0.026075	 0.745841 	 numero de thread:0
0.026138	 0.745749 	 numero de thread:0
0.026201	 0.745657 	 numero de thread:0
0.026264	 0.745565 	 numero de thread:0
0.026327	 0.745473 	 numero de thread:0
0.026389	 0.745382 	 numero de thread:0
0.026452	 0.745290 	 numero de thread:0
0.026515	 0.745198 	 numero de thread:0
0.026578	 0.745106 	 numero de thread:0
0.026641	 0.745014 	 numero de thread:0
0.026704	 0.744922 	 numero de thread:0
0.026766	 0.744831 	 numero de thread:0
0.026829	 0.744739 	 numero de thread:0
0.026892	 0.744647 	 numero de thread:0
0.026955	 0.744555 	 numero de thread:0
0.027018	 0.744464 	 numero de thread:0
0.027081	 0.744372 	 numero de thread:0
0.027143	 0.744280 	 numero de thread:0
0.027206	 0.744189 	 numero de thread:0
0.027269	 0.744097 	 numero de thread:0
0.027332	 0.744005 	 numero de thread:0
0.027395	 0.743914 	 numero de thread:0
0.027458	 0.743822 	 numero de thread:0
0.027520	 0.743730 	 numero de thread:0
0.027583	 0.743639 	 numero de thread:0
0.027646	 0.743547 	 numero de thread:0
0.027709	 0.743456 	 numero de thread:0
0.027772	 0.743364 	 numero de thread:0
0.027835	 0.743273 	 numero de thread:0
0.027897	 0.743181 	 numero de thread:0
0.027960	 0.743090 	 numero de thread:0
0.028023	 0.742998 	 numero de thread:0
0.028086	 0.742907 	 numero de thread:0
0.028149	 0.742815 	 numero de thread:0
0.028212	 0.742724 	 numero de thread:0
0.028274	 0.742633 	 numero de thread:0
0.028337	 0.742541 	 numero de thread:0
0.028400	 0.742450 	 numero de thread:0
0.028463	 0.742359 	 numero de thread:0
0.028526	 0.742267 	 numero de thread:0
0.028588	 0.742176 	 numero de thread:0
0.028651	 0.742085 	 numero de thread:0
0.028714	 0.741993 	 numero de thread:0
0.028777	 0.741902 	 numero de thread:0
0.028840	 0.741811 	 numero de thread:0
0.028903	 0.741720 	 numero de thread:0
0.028965	 0.741628 	 numero de thread:0
0.029028	 0.741537 	 numero de thread:0
0.029091	 0.741446 	 numero de thread:0
0.029154	 0.741355 	 numero de thread:0
0.029217	 0.741264 	 numero de thread:0
0.029280	 0.741173 	 numero de thread:0
0.029342	 0.741081 	 numero de thread:0
0.029405	 0.740990 	 numero de thread:0
0.029468	 0.740899 	 numero de thread:0
0.029531	 0.740808 	 numero de thread:0
0.029594	 0.740717 	 numero de thread:0
0.029657	 0.740626 	 numero de thread:0
0.029719	 0.740535 	 numero de thread:0
0.029782	 0.740444 	 numero de thread:0
0.029845	 0.740353 	 numero de thread:0
0.029908	 0.740262 	 numero de thread:0
0.029971	 0.740171 	 numero de thread:0
0.030034	 0.740080 	 numero de thread:0
0.030096	 0.739989 	 numero de thread:0
0.030159	 0.739898 	 numero de thread:0
0.030222	 0.739807 	 numero de thread:0
0.030285	 0.739717 	 numero de thread:0
0.030348	 0.739626 	 numero de thread:0
0.030411	 0.739535 	 numero de thread:0
0.030473	 0.739444 	 numero de thread:0
0.030536	 0.739353 	 numero de thread:0
0.030599	 0.739262 	 numero de thread:0
0.030662	 0.739172 	 numero de thread:0
0.030725	 0.739081 	 numero de thread:0
0.030788	 0.738990 	 numero de thread:0
0.030850	 0.738899 	 numero de thread:0
0.030913	 0.738809 	 numero de thread:0
0.030976	 0.738718 	 numero de thread:0
0.031039	 0.738627 	 numero de thread:0
0.031102	 0.738537 	 numero de thread:0
0.031165	 0.738446 	 numero de thread:0
0.031227	 0.738355 	 numero de thread:0
0.031290	 0.738265 	 numero de thread:0
0.031353	 0.738174 	 numero de thread:0
0.031416	 0.738083 	 numero de thread:0
0.031479	 0.737993 	 numero de thread:0
0.031542	 0.737902 	 numero de thread:0
0.031604	 0.737812 	 numero de thread:0
0.031667	 0.737721 	 numero de thread:0
0.031730	 0.737631 	 numero de thread:0
0.031793	 0.737540 	 numero de thread:0
0.031856	 0.737450 	 numero de thread:0
0.031919	 0.737359 	 numero de thread:0
0.031981	 0.737269 	 numero de thread:0
0.032044	 0.737178 	 numero de thread:0
0.032107	 0.737088 	 numero de thread:0
0.032170	 0.736998 	 numero de thread:0
0.032233	 0.736907 	 numero de thread:0
0.032296	 0.736817 	 numero de thread:0
0.032358	 0.736727 	 numero de thread:0
0.032421	 0.736636 	 numero de thread:0
0.032484	 0.736546 	 numero de thread:0
0.032547	 0.736456 	 numero de thread:0
0.032610	 0.736365 	 numero de thread:0
0.032673	 0.736275 	 numero de thread:0
0.032735	 0.736185 	 numero de thread:0
0.032798	 0.736095 	 numero de thread:0
0.032861	 0.736004 	 numero de thread:0
0.032924	 0.735914 	 numero de thread:0
0.032987	 0.735824 	 numero de thread:0
0.033050	 0.735734 	 numero de thread:0
0.033112	 0.735644 	 numero de thread:0
0.033175	 0.735553 	 numero de thread:0
0.033238	 0.735463 	 numero de thread:0
0.033301	 0.735373 	 numero de thread:0
0.033364	 0.735283 	 numero de thread:0
0.033427	 0.735193 	 numero de thread:0
0.033489	 0.735103 	 numero de thread:0
0.033552	 0.735013 	 numero de thread:0
0.033615	 0.734923 	 numero de thread:0
0.033678	 0.734833 	 numero de thread:0
0.033741	 0.734743 	 numero de thread:0
0.033804	 0.734653 	 numero de thread:0
0.033866	 0.734563 	 numero de thread:0
0.033929	 0.734473 	 numero de thread:0
0.033992	 0.734383 	 numero de thread:0
0.034055	 0.734293 	 numero de thread:0
0.034118	 0.734203 	 numero de thread:0
0.034181	 0.734113 	 numero de thread:0
0.034243	 0.734024 	 numero de thread:0
0.034306	 0.733934 	 numero de thread:0
0.034369	 0.733844 	 numero de thread:0
0.034432	 0.733754 	 numero de thread:0
0.034495	 0.733664 	 numero de thread:0
0.034558	 0.733575 	 numero de thread:0
0.034620	 0.733485 	 numero de thread:0
0.034683	 0.733395 	 numero de thread:0
0.034746	 0.733305 	 numero de thread:0
0.034809	 0.733216 	 numero de thread:0
0.034872	 0.733126 	 numero de thread:0
0.034935	 0.733036 	 numero de thread:0
0.034997	 0.732946 	 numero de thread:0
0.035060	 0.732857 	 numero de thread:0
0.035123	 0.732767 	 numero de thread:0
0.035186	 0.732678 	 numero de thread:0
0.035249	 0.732588 	 numero de thread:0
0.035312	 0.732498 	 numero de thread:0
0.035374	 0.732409 	 numero de thread:0
0.035437	 0.732319 	 numero de thread:0
0.035500	 0.732230 	 numero de thread:0
0.035563	 0.732140 	 numero de thread:0
0.035626	 0.732051 	 numero de thread:0
0.035688	 0.731961 	 numero de thread:0
0.035751	 0.731872 	 numero de thread:0
0.035814	 0.731782 	 numero de thread:0
0.035877	 0.731693 	 numero de thread:0
0.035940	 0.731603 	 numero de thread:0
0.036003	 0.731514 	 numero de thread:0
0.036065	 0.731425 	 numero de thread:0
0.036128	 0.731335 	 numero de thread:0
0.036191	 0.731246 	 numero de thread:0
0.036254	 0.731156 	 numero de thread:0
0.036317	 0.731067 	 numero de thread:0
0.036380	 0.730978 	 numero de thread:0
0.036442	 0.730889 	 numero de thread:0
0.036505	 0.730799 	 numero de thread:0
0.036568	 0.730710 	 numero de thread:0
0.036631	 0.730621 	 numero de thread:0
0.036694	 0.730531 	 numero de thread:0
0.036757	 0.730442 	 numero de thread:0
0.036819	 0.730353 	 numero de thread:0
0.036882	 0.730264 	 numero de thread:0
0.036945	 0.730175 	 numero de thread:0
0.037008	 0.730086 	 numero de thread:0
0.037071	 0.729996 	 numero de thread:0
0.037134	 0.729907 	 numero de thread:0
0.037196	 0.729818 	 numero de thread:0
0.037259	 0.729729 	 numero de thread:0
0.037322	 0.729640 	 numero de thread:0
0.037385	 0.729551 	 numero de thread:0
0.037448	 0.729462 	 numero de thread:0
0.037511	 0.729373 	 numero de thread:0
0.037573	 0.729284 	 numero de thread:0
0.037636	 0.729195 	 numero de thread:0
0.037699	 0.729106 	 numero de thread:0
0.037762	 0.729017 	 numero de thread:0
0.037825	 0.728928 	 numero de thread:0
0.037888	 0.728839 	 numero de thread:0
0.037950	 0.728750 	 numero de thread:0
0.038013	 0.728661 	 numero de thread:0
0.038076	 0.728572 	 numero de thread:0
0.038139	 0.728484 	 numero de thread:0
0.038202	 0.728395 	 numero de thread:0
0.038265	 0.728306 	 numero de thread:0
0.038327	 0.728217 	 numero de thread:0
0.038390	 0.728128 	 numero de thread:0
0.038453	 0.728039 	 numero de thread:0
0.038516	 0.727951 	 numero de thread:0
0.038579	 0.727862 	 numero de thread:0
0.038642	 0.727773 	 numero de thread:0
0.038704	 0.727684 	 numero de thread:0
0.038767	 0.727596 	 numero de thread:0
0.038830	 0.727507 	 numero de thread:0
0.038893	 0.727418 	 numero de thread:0
0.038956	 0.727330 	 numero de thread:0
0.039019	 0.727241 	 numero de thread:0
0.039081	 0.727152 	 numero de thread:0
0.039144	 0.727064 	 numero de thread:0
0.039207	 0.726975 	 numero de thread:0
0.039270	 0.726887 	 numero de thread:0
0.039333	 0.726798 	 numero de thread:0
0.039396	 0.726710 	 numero de thread:0
0.039458	 0.726621 	 numero de thread:0
0.039521	 0.726533 	 numero de thread:0
0.039584	 0.726444 	 numero de thread:0
0.039647	 0.726356 	 numero de thread:0
0.039710	 0.726267 	 numero de thread:0
0.039773	 0.726179 	 numero de thread:0
0.039835	 0.726090 	 numero de thread:0
0.039898	 0.726002 	 numero de thread:0
0.039961	 0.725913 	 numero de thread:0
0.040024	 0.725825 	 numero de thread:0
0.040087	 0.725737 	 numero de thread:0
0.040150	 0.725648 	 numero de thread:0
0.040212	 0.725560 	 numero de thread:0
0.040275	 0.725472 	 numero de thread:0
0.040338	 0.725383 	 numero de thread:0
0.040401	 0.725295 	 numero de thread:0
0.040464	 0.725207 	 numero de thread:0
0.040527	 0.725119 	 numero de thread:0
0.040589	 0.725030 	 numero de thread:0
0.040652	 0.724942 	 numero de thread:0
0.040715	 0.724854 	 numero de thread:0
0.040778	 0.724766 	 numero de thread:0
0.040841	 0.724678 	 numero de thread:0
0.040904	 0.724589 	 numero de thread:0
0.040966	 0.724501 	 numero de thread:0
0.041029	 0.724413 	 numero de thread:0
0.041092	 0.724325 	 numero de thread:0
0.041155	 0.724237 	 numero de thread:0
0.041218	 0.724149 	 numero de thread:0
0.041281	 0.724061 	 numero de thread:0
0.041343	 0.723973 	 numero de thread:0
0.041406	 0.723885 	 numero de thread:0
0.041469	 0.723797 	 numero de thread:0
0.041532	 0.723709 	 numero de thread:0
0.041595	 0.723621 	 numero de thread:0
